id,inhabitants,s1_percentage_unemployed,s2_percentage_long_term_unemployed,s3_percentage_transfer_payments_recipients,s4_percentage_transfer_payments_recipients_below_15_years,d1_percentage_unemployed,d2_percentage_long_term_unemployed,d3_percentage_transfer_payments_recipients,d4_percentage_transfer_payments_recipients_below_15_years
01,371407,7.58323,2.21538,19.44848,45.12185,-1.30725,-0.48678,-0.41655,-2.84184
02,281323,7.03808,2.11304,15.71006,31.63521,-1.25666,-0.55631,-0.88207,-5.02928
03,397406,4.87398,1.60501,7.28701,12.64106,-1.14918,-0.44978,-0.50138,-1.76157
04,336249,5.41956,1.99528,9.43586,19.97046,-0.71121,-0.38369,-0.11266,-0.98763
05,239942,8.43647,2.97662,16.90158,40.14419,-0.44423,-0.0987,-0.03191,-0.80517
06,304086,4.21384,1.45331,6.31631,12.84859,-0.71896,-0.35785,0.05403,-0.81023
07,346108,6.48437,2.2523,12.96041,28.92283,-1.01978,-0.39306,0.10447,-1.282
08,327522,8.61918,2.72138,20.2591,47.63888,-0.53247,-0.17377,-0.7632,-2.8635
09,259524,5.44326,1.9853,8.47629,19.52011,-1.25537,-0.54003,0.05943,-1.35437
10,262015,6.92823,1.93654,14.92548,35.95753,-1.53374,-0.93111,-1.15974,-4.78967
11,283121,6.41714,2.16604,13.00575,30.48033,-1.34085,-0.72245,-0.15277,-3.19256
12,261919,7.05829,2.35685,15.3746,37.63273,-0.35187,-0.15367,0.12972,-0.09022
